,Title,Year,Duration,Genre,Rating
0,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6
1,Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi",7.4
2,Flight, 2012,138 min,"Drama, Thriller",7.3
3,Troy,2004,163 min,"Drama, History",7.3
4,Avatar,2009,162 min,"Action, Adventure, Fantasy",7.8
5,Pride & Prejudice,2005,129 min,"Drama, Romance",7.8
6,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",7.8
7,Vicky Cristina Barcelona,2008,96 min,"Comedy, Drama, Romance",7.1
8,8 Mile,2002,110 min,"Drama, Music",7.1
9,Drive, 2011,100 min,"Action, Drama",7.8
10,The Perfect Storm,2000,130 min,"Action, Adventure, Drama",6.4
11,Prometheus, 2012,124 min,"Adventure, Mystery, Sci-Fi",7.0
12,Apocalypto,2006,139 min,"Action, Adventure, Drama",7.8
13,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7
14,The Town,2010,125 min,"Crime, Drama, Thriller",7.5
15,Malèna,2000,108 min,"Drama, Romance, War",7.4
16,Thirteen,2003,100 min,Drama,6.8
17,The Devil Wears Prada,2006,109 min,"Comedy, Drama",6.9
18,Tropic Thunder,2008,107 min,"Action, Comedy, War",7.0
19,Cars,2006,117 min,"Animation, Adventure, Comedy",7.2
20,Spider-Man 2,2004,127 min,"Action, Adventure, Sci-Fi",7.4
21,Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8
22,Transformers,2007,144 min,"Action, Adventure, Sci-Fi",7.0
23,Zero Dark Thirty,2012,157 min,"Drama, History, Thriller",7.4
24,Collateral,2004,120 min,"Action, Crime, Drama",7.5
25,Atonement,2007,123 min,"Drama, Mystery, Romance",7.8
26,The Social Network,2010,120 min,"Biography, Drama",7.8
27,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",7.7
28,Star Wars: Episode III - Revenge of the Sith,2005,140 min,"Action, Adventure, Fantasy",7.6
29,Training Day,2001,122 min,"Action, Crime, Drama",7.7
30,Kung Fu Panda,2008,92 min,"Animation, Action, Adventure",7.6
31,Unfaithful,2002,124 min,"Drama, Romance, Thriller",6.7
32,Charlie and the Chocolate Factory,2005,115 min,"Adventure, Comedy, Family",6.7
33,The Village,2004,108 min,"Drama, Mystery, Thriller",6.6
34,Skyfall,2012,143 min,"Action, Adventure, Thriller",7.8
35,Les Misérables,2012,158 min,"Drama, Musical, Romance",7.5
36,Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",7.6
37,Star Wars: Episode II - Attack of the Clones,2002,142 min,"Action, Adventure, Fantasy",6.6
38,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",6.9
39,The Cell,2000,107 min,"Crime, Horror, Sci-Fi",6.4
40,Vanilla Sky,2001,136 min,"Fantasy, Mystery, Romance",6.9
41,Moulin Rouge!,2001,127 min,"Drama, Musical, Romance",7.6
42,The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8
43,My Big Fat Greek Wedding,2002,95 min,"Comedy, Drama, Romance",6.6
44,Black Hawk Down,2001,144 min,"Action, Drama, History",7.7
45,Pirates of the Caribbean: Dead Man's Chest,2006,151 min,"Action, Adventure, Fantasy",7.3
46,Argo,2012,120 min,"Biography, Drama, Thriller",7.7
47,The Reader,2008,124 min,"Drama, Romance",7.6
48,The Patriot,2000,165 min,"Action, Drama, History",7.2
49,The Blind Side,2009,129 min,"Biography, Drama, Sport",7.6
50,Margin Call,2011,107 min,"Drama, Thriller",7.1
51,Monster,2003,109 min,"Biography, Crime, Drama",7.3
52,King Kong,2005,187 min,"Action, Adventure, Drama",7.2
53,Brokeback Mountain,2005,134 min,"Drama, Romance",7.7
54,Bridesmaids, 2011,125 min,"Comedy, Romance",6.8
55,Road to Perdition,2002,117 min,"Crime, Drama, Thriller",7.7
56,Lo imposible,2012,114 min,"Adventure, Drama, History",7.5
57,Coraline,2009,100 min,"Animation, Drama, Family",7.7
58,Anna Karenina, 2012,129 min,"Drama, Romance",6.6
59,Alice in Wonderland, 2010,108 min,"Adventure, Family, Fantasy",6.4
60,Cast Away,2000,143 min,"Adventure, Drama, Romance",7.8
61,Sweeney Todd: The Demon Barber of Fleet Street,2007,116 min,"Drama, Horror, Musical",7.3
62,Bridget Jones's Diary,2001,97 min,"Comedy, Drama, Romance",6.7
63,A Series of Unfortunate Events,2004,108 min,"Adventure, Comedy, Family",6.8
64,Minority Report,2002,145 min,"Action, Crime, Mystery",7.7
65,Gangs of New York,2002,167 min,"Crime, Drama",7.5
66,Tangled,2010,100 min,"Animation, Adventure, Comedy",7.7
67,Moneyball,2011,133 min,"Biography, Drama, Sport",7.6
68,Brave,2012,93 min,"Animation, Adventure, Comedy",7.1
69,Sherlock Holmes,2009,128 min,"Action, Adventure, Mystery",7.6
70,Ted,2012,106 min,Comedy,6.9
71,Iron Man 2,2010,124 min,"Action, Adventure, Sci-Fi",6.9
72,Wanted,2008,110 min,"Action, Crime, Thriller",6.7
73,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8
74,Silver Linings Playbook,2012,122 min,"Comedy, Drama, Romance",7.7
75,The Phantom of the Opera,2004,143 min,"Drama, Musical, Romance",7.2
76,American Gangster,2007,157 min,"Biography, Crime, Drama",7.8
77,Crash, 2004,112 min,"Crime, Drama, Thriller",7.8
78,Lost in Translation,2003,102 min,"Comedy, Drama",7.7
79,Tron,2010,125 min,"Action, Adventure, Sci-Fi",6.8
